X Y Z F A
-7.320 -41.520 -9.600 43.239 2.949
-7.020 -41.880 -9.600 43.536 2.949
-7.020 -41.880 -9.600 43.536 2.945
-6.720 -42.240 -9.900 43.902 2.945
-6.720 -42.240 -9.900 43.902 2.975
-6.240 -42.420 -10.680 44.187 2.975
-6.240 -42.420 -10.680 44.187 2.995
-5.640 -42.600 -12.180 44.665 2.995
-5.640 -42.600 -12.180 44.665 2.977
-5.040 -42.840 -14.340 45.457 3.014
-5.040 -42.840 -14.340 45.457 3.014
-4.200 -43.860 -15.960 46.862 3.029
-4.200 -43.860 -15.960 46.862 3.029
-3.240 -45.420 -18.000 48.964 3.031
-3.240 -45.420 -18.000 48.964 3.031
-1.740 -46.980 -20.040 51.105 3.051
-1.740 -46.980 -20.040 51.105 3.051
-.420 -48.360 -21.540 52.942 3.088
-.420 -48.360 -21.540 52.942 3.094
.240 -48.540 -24.360 54.310 3.094
.240 -48.540 -24.360 54.310 3.114
.720 -47.700 -27.180 54.905 3.114
.720 -47.700 -27.180 54.905 3.124
.660 -46.320 -30.540 55.486 3.124
.660 -46.320 -30.540 55.486 3.102
.840 -43.860 -33.780 55.367 3.102
.840 -43.860 -33.780 55.367 3.096
1.260 -40.680 -36.540 54.696 3.065
1.260 -40.680 -36.540 54.696 3.065
1.020 -37.620 -38.100 53.553 3.078
1.020 -37.620 -38.100 53.553 3.078
.240 -34.320 -38.880 51.861 3.058
.240 -34.320 -38.880 51.861 3.058
-1.560 -32.100 -39.300 50.767 3.067
-1.560 -32.100 -39.300 50.767 3.067
-3.840 -32.100 -38.280 50.105 2.953
-3.840 -32.100 -38.280 50.105 2.953
-5.760 -33.660 -37.080 50.409 3.013
-5.760 -33.660 -37.080 50.409 2.915
-7.320 -35.640 -35.460 50.806 2.915
-7.320 -35.640 -35.460 50.806 2.818
-8.940 -38.820 -33.840 52.269 2.818
-8.940 -38.820 -33.840 52.269 2.900
-11.400 -41.940 -31.680 53.782 2.900
-11.400 -41.940 -31.680 53.782 2.794
-13.080 -43.860 -30.300 54.890 2.794
-13.080 -43.860 -30.300 54.890 2.798
-15.600 -46.440 -27.660 56.259 2.851
-15.600 -46.440 -27.660 56.259 2.851
-17.220 -47.820 -25.200 56.730 2.731
-17.220 -47.820 -25.200 56.730 2.731
-17.580 -47.580 -24.540 56.348 2.758
-17.580 -47.580 -24.540 56.348 2.758
-18.960 -48.060 -22.200 56.232 2.726
