X,Y,Z,F
0.5400,-0.6000,42.1800,42.1880
0.7800,-0.4200,41.6400,41.6490
1.3200,-0.1200,41.4000,41.4210
1.1400,0.2400,41.1600,41.1760
1.8000,-0.4200,37.5000,37.5460
0.7800,-0.4200,41.6400,41.6490
1.3200,-0.1200,41.4000,41.4210
1.1400,0.2400,41.1600,41.1760
1.8000,-0.4200,37.5000,37.5460
3.9000,-3.0600,33.5400,33.9040
1.3200,-0.1200,41.4000,41.4210
1.1400,0.2400,41.1600,41.1760
1.8000,-0.4200,37.5000,37.5460
3.9000,-3.0600,33.5400,33.9040
6.0600,-5.7000,26.2800,27.5650
1.1400,0.2400,41.1600,41.1760
1.8000,-0.4200,37.5000,37.5460
3.9000,-3.0600,33.5400,33.9040
6.0600,-5.7000,26.2800,27.5650
6.2400,-1.5600,16.3200,17.5420
1.8000,-0.4200,37.5000,37.5460
3.9000,-3.0600,33.5400,33.9040
6.0600,-5.7000,26.2800,27.5650
6.2400,-1.5600,16.3200,17.5420
5.8200,3.6600,11.8800,13.7260
3.9000,-3.0600,33.5400,33.9040
6.0600,-5.7000,26.2800,27.5650
6.2400,-1.5600,16.3200,17.5420
5.8200,3.6600,11.8800,13.7260
3.0600,8.1000,10.4400,13.5630
6.0600,-5.7000,26.2800,27.5650
6.2400,-1.5600,16.3200,17.5420
5.8200,3.6600,11.8800,13.7260
3.0600,8.1000,10.4400,13.5630
-3.9600,5.6400,13.9200,15.5320
6.2400,-1.5600,16.3200,17.5420
5.8200,3.6600,11.8800,13.7260
3.0600,8.1000,10.4400,13.5630
-3.9600,5.6400,13.9200,15.5320
-11.3400,-0.1800,18.6600,21.8360
5.8200,3.6600,11.8800,13.7260
3.0600,8.1000,10.4400,13.5630
-3.9600,5.6400,13.9200,15.5320
-11.3400,-0.1800,18.6600,21.8360
-14.5200,-2.3400,22.6200,26.9810
3.0600,8.1000,10.4400,13.5630
-3.9600,5.6400,13.9200,15.5320
-11.3400,-0.1800,18.6600,21.8360
-14.5200,-2.3400,22.6200,26.9810
-19.2000,-4.0200,30.6600,36.3980
-3.9600,5.6400,13.9200,15.5320
-11.3400,-0.1800,18.6600,21.8360
-14.5200,-2.3400,22.6200,26.9810
-19.2000,-4.0200,30.6600,36.3980
-18.6000,-6.9000,28.6200,34.8230
-11.3400,-0.1800,18.6600,21.8360
-14.5200,-2.3400,22.6200,26.9810
-19.2000,-4.0200,30.6600,36.3980
-18.6000,-6.9000,28.6200,34.8230
-14.4600,-7.3800,23.4000,28.4800
-14.5200,-2.3400,22.6200,26.9810
-19.2000,-4.0200,30.6600,36.3980
-18.6000,-6.9000,28.6200,34.8230
-14.4600,-7.3800,23.4000,28.4800
-6.4800,-4.5600,19.7400,21.2710
-19.2000,-4.0200,30.6600,36.3980
-18.6000,-6.9000,28.6200,34.8230
-14.4600,-7.3800,23.4000,28.4800
-6.4800,-4.5600,19.7400,21.2710
-2.8200,-2.5200,19.7400,20.0990
-18.6000,-6.9000,28.6200,34.8230
-14.4600,-7.3800,23.4000,28.4800
-6.4800,-4.5600,19.7400,21.2710
-2.8200,-2.5200,19.7400,20.0990
2.1600,0.9600,18.1800,18.3330
-14.4600,-7.3800,23.4000,28.4800
-6.4800,-4.5600,19.7400,21.2710
-2.8200,-2.5200,19.7400,20.0990
2.1600,0.9600,18.1800,18.3330
4.6800,3.5400,16.6200,17.6260
-6.4800,-4.5600,19.7400,21.2710
-2.8200,-2.5200,19.7400,20.0990
2.1600,0.9600,18.1800,18.3330
4.6800,3.5400,16.6200,17.6260
9.3600,6.2400,17.5800,20.8710
-2.8200,-2.5200,19.7400,20.0990
2.1600,0.9600,18.1800,18.3330
4.6800,3.5400,16.6200,17.6260
9.3600,6.2400,17.5800,20.8710
12.9600,5.8200,15.3600,20.9230
2.1600,0.9600,18.1800,18.3330
4.6800,3.5400,16.6200,17.6260
9.3600,6.2400,17.5800,20.8710
12.9600,5.8200,15.3600,20.9230
20.8200,6.1200,7.7400,23.0400
4.6800,3.5400,16.6200,17.6260
9.3600,6.2400,17.5800,20.8710
12.9600,5.8200,15.3600,20.9230
20.8200,6.1200,7.7400,23.0400
26.0400,4.6200,0.5400,26.4520
9.3600,6.2400,17.5800,20.8710
12.9600,5.8200,15.3600,20.9230
20.8200,6.1200,7.7400,23.0400
26.0400,4.6200,0.5400,26.4520
31.6800,0.4800,-10.1400,33.2670
12.9600,5.8200,15.3600,20.9230
20.8200,6.1200,7.7400,23.0400
26.0400,4.6200,0.5400,26.4520
31.6800,0.4800,-10.1400,33.2670
34.0200,-5.5200,-13.6200,37.0590
20.8200,6.1200,7.7400,23.0400
26.0400,4.6200,0.5400,26.4520
31.6800,0.4800,-10.1400,33.2670
34.0200,-5.5200,-13.6200,37.0590
29.8800,-17.1000,-10.5600,36.0100
26.0400,4.6200,0.5400,26.4520
31.6800,0.4800,-10.1400,33.2670
34.0200,-5.5200,-13.6200,37.0590
29.8800,-17.1000,-10.5600,36.0100
23.7000,-21.3600,0.1800,31.9060
31.6800,0.4800,-10.1400,33.2670
34.0200,-5.5200,-13.6200,37.0590
29.8800,-17.1000,-10.5600,36.0100
23.7000,-21.3600,0.1800,31.9060
20.1000,-20.4600,4.5000,29.0320
34.0200,-5.5200,-13.6200,37.0590
29.8800,-17.1000,-10.5600,36.0100
23.7000,-21.3600,0.1800,31.9060
20.1000,-20.4600,4.5000,29.0320
15.6600,-16.7400,10.5600,25.2380
29.8800,-17.1000,-10.5600,36.0100
23.7000,-21.3600,0.1800,31.9060
20.1000,-20.4600,4.5000,29.0320
15.6600,-16.7400,10.5600,25.2380
13.3800,-14.2800,13.9200,24.0150
23.7000,-21.3600,0.1800,31.9060
20.1000,-20.4600,4.5000,29.0320
15.6600,-16.7400,10.5600,25.2380
13.3800,-14.2800,13.9200,24.0150
13.3800,-9.4200,17.7600,24.1490
20.1000,-20.4600,4.5000,29.0320
15.6600,-16.7400,10.5600,25.2380
13.3800,-14.2800,13.9200,24.0150
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
15.6600,-16.7400,10.5600,25.2380
13.3800,-14.2800,13.9200,24.0150
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
13.3800,-14.2800,13.9200,24.0150
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
